Diabetic Retinopathy Stage,Diet Preference,Meal type,Recommended Food,Carbohydrate(g),Vitamins,Proteins(g),Minerals,Calories(kcal),Preferred Exercise,Avoid,Age Group,Region,BMI,Health Routine,Day of Week
No retinopathy,Non Vegetarian,Breakfast,"Barnyard Millet Pongal, Chicken Stew, Coconut Chutney, Masala Makhanas, Rajma Pulao, Tandoori Chicken",39,13,20,13,382,Strength Training,Processed Foods,36-45,South,20.1,Get enough sleep to support overall health.,Thursday
Mild Retinopathy,Non Vegetarian,Snacks,"Coconut Chutney, Dhokla, Pumpkin Dal, Rajma Pulao, Spinach Rice, Vegetable Upma",43,12,10,9,283,Swimming,Sugary Foods,18-25,North,25.4,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Monday
Severe Retinopathy,Non Vegetarian,Dinner,"Egg Muffins, Fish Curry, Keema Pulao, Ragi Dosa, Rava Idli, Vegetable Handvo",32,10,14,14,381,Yoga,Refined Flour,18-25,Central,30,"Include high-fiber foods like oats, vegetables, and legumes.",Saturday
Mild Retinopathy,Non Vegetarian,Breakfast,"Amaranth Dal, Chole with Bhatura, Oats Chilla, Oats Idli, Pumpkin Dal, Vegetable Daliya",38,7,18,15,330,Swimming,Soft Drinks,26-35,West,25.8,"Include high-fiber foods like oats, vegetables, and legumes.",Wednesday
No retinopathy,Vegan,Lunch,"Almond Milk Smoothie, Amaranth Dal, Masala Egg Toast, Millet Porridge, Moong Dal Chilla, Oats Idli",35,14,19,14,518,Brisk Walking,Soft Drinks,36-45,North,23.7,Stay hydrated and drink at least 8 glasses of water daily.,Saturday
Severe Retinopathy,Vegetarian,Lunch,"Bajra Roti, Lauki Curry, Mutton Seekh, Oats Idli, Rajma Curry, Sprouted Chana Salad",32,6,22,14,293,Strength Training,Sugary Foods,18-25,West,23.9,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Wednesday
Severe Retinopathy,Vegan,Lunch,"Bajra Roti, Boiled Egg Salad, Chia Pudding, Palak Kofta, Pumpkin Soup, Rajma Pulao",50,11,19,15,333,Swimming,Excess Salt,60+,Central,20.8,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Friday
Proliferative Retinopathy,Vegetarian,Dinner,"Daliya Upma, Fish Curry, Lauki Curry, Masoor Dal, Millet Porridge, Multigrain Sandwich",34,14,19,7,347,Brisk Walking,Sugary Foods,36-45,East,24.4,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Monday
Severe Retinopathy,Vegetarian,Lunch,"Egg Muffins, Oats Chilla, Palak Kofta, Ragi Dosa, Sweet Corn Salad, Vegetable Upma",43,6,21,14,484,Stretching,Soft Drinks,46-60,East,29.1,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Wednesday
Proliferative Retinopathy,Vegetarian,Breakfast,"Egg Paratha, Fish Curry, Millet Porridge, Poha, Pumpkin Soup, Sweet Corn Salad",49,10,8,7,447,Stretching,Processed Foods,36-45,North,24.7,Practice mindfulness and stress-reducing activities.,Thursday
Mild Retinopathy,Vegan,Lunch,"Bisi Bele Bath, Boiled Egg Salad, Keema Pulao, Ragi Dosa, Sweet Corn Salad, Tofu Stir Fry",33,12,18,14,395,Cycling,Soft Drinks,26-35,West,18.2,"Eat small, frequent meals to maintain blood sugar levels.",Saturday
Severe Retinopathy,Vegan,Dinner,"Chana Sundal, Cucumber Raita, Egg Bhurji, Fish Curry, Methi Paratha, Vegan Dum Biryani",43,7,21,7,490,Strength Training,Refined Flour,60+,North,19.3,Keep a food diary to monitor your eating habits.,Wednesday
Severe Retinopathy,Vegan,Lunch,"Barley Risotto, Masoor Dal, Stuffed Tinda, Tandoori Chicken, Turkey Kebab, Vegan Pancakes",48,13,16,7,277,Strength Training,Excess Salt,26-35,West,27.5,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Monday
No retinopathy,Vegan,Dinner,"Bisi Bele Bath, Gatte ki Sabzi, Masala Egg Toast, Methi Paratha, Moong Dal Chilla, Rajma Curry",37,13,12,14,251,Strength Training,Deep Fried Items,46-60,East,18.9,Exercise regularly to maintain healthy weight and sugar levels.,Tuesday
Moderate Retinopathy,Non Vegetarian,Lunch,"Amaranth Dal, Baingan Bharta, Bisi Bele Bath, Chia Pudding, Spinach Rice, Tofu Bhurji",41,8,17,7,460,Yoga,Soft Drinks,36-45,East,29.7,"Include high-fiber foods like oats, vegetables, and legumes.",Sunday
Severe Retinopathy,Non Vegetarian,Dinner,"Bisi Bele Bath, Fish Korma, Lauki Kofta, Mutton Biryani, Tofu Bhurji, Vegetable Daliya",35,11,9,11,262,Brisk Walking,Soft Drinks,36-45,North,25.6,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Monday
Mild Retinopathy,Vegetarian,Lunch,"Egg Muffins, Millet Porridge, Oats Chilla, Poha, Rava Idli, Sweet Corn Salad",42,12,17,12,350,Cycling,Refined Flour,46-60,East,29.7,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Thursday
No retinopathy,Vegan,Breakfast,"Masala Egg Toast, Millet Porridge, Moong Dal Chilla, Poha, Spinach Khichdi, Stuffed Tinda",36,11,15,7,472,Yoga,Soft Drinks,36-45,West,29,"Eat small, frequent meals to maintain blood sugar levels.",Monday
Moderate Retinopathy,Vegan,Breakfast,"Almond Milk Smoothie, Chicken Stew, Masala Papad, Moong Dal Chilla, Palak Kofta, Spinach Rice",47,12,22,6,450,Yoga,Deep Fried Items,46-60,South,29,Practice mindfulness and stress-reducing activities.,Thursday
No retinopathy,Non Vegetarian,Snacks,"Bajra Roti, Keema Pulao, Stuffed Tinda, Sweet Potato Hash, Tomato Shorba, Vegan Pancakes",51,13,18,13,341,Strength Training,Sugary Foods,18-25,North,18.4,Get enough sleep to support overall health.,Sunday
Proliferative Retinopathy,Vegan,Lunch,"Chana Sundal, Daliya Upma, Spinach Rice, Stuffed Capsicum, Vegetable Daliya, Vegetable Handvo",30,9,9,15,327,Swimming,Deep Fried Items,60+,North,23.2,"Include high-fiber foods like oats, vegetables, and legumes.",Wednesday
Mild Retinopathy,Vegetarian,Snacks,"Handvo, Jeera Rice, Masala Papad, Paneer Cutlet, Tofu Bhurji, Tomato Shorba",45,7,15,9,375,Stretching,Excess Salt,36-45,East,22.8,Stay hydrated and drink at least 8 glasses of water daily.,Friday
Moderate Retinopathy,Vegan,Breakfast,"Aloo Paratha, Grilled Salmon, Methi Paratha, Pumpkin Dal, Rava Idli, Tomato Shorba",33,7,13,12,475,Brisk Walking,Sugary Foods,26-35,South,23,Avoid skipping meals and maintain consistent meal timings.,Wednesday
No retinopathy,Vegetarian,Snacks,"Amaranth Dal, Barley Risotto, Grilled Salmon, Masoor Dal, Multigrain Sandwich, Vegetable Upma",33,14,22,10,302,Yoga,Soft Drinks,46-60,South,19.7,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Monday
Mild Retinopathy,Vegetarian,Dinner,"Amaranth Dal, Egg Paratha, Moong Dal Chilla, Pumpkin Dal, Stuffed Capsicum, Sweet Corn Salad",32,6,22,11,507,Strength Training,Deep Fried Items,46-60,North,25.4,"Eat small, frequent meals to maintain blood sugar levels.",Wednesday
Mild Retinopathy,Vegetarian,Breakfast,"Baingan Bharta, Dhokla, Fish Korma, Grilled Salmon, Masala Egg Toast, Vegan Dum Biryani",49,14,18,9,383,Stretching,Deep Fried Items,18-25,Central,18.2,Avoid skipping meals and maintain consistent meal timings.,Friday
No retinopathy,Non Vegetarian,Dinner,"Boiled Egg Salad, Chole with Bhatura, Grilled Salmon, Oats Idli, Rajma Pulao, Vegetable Handvo",44,11,17,11,254,Swimming,Sugary Foods,36-45,North,23.3,Limit your intake of caffeine and alcohol.,Thursday
Severe Retinopathy,Vegan,Dinner,"Barnyard Millet Pongal, Chicken Sandwich, Daliya Upma, Egg Bhurji, Palak Paneer, Tofu Stir Fry",31,14,14,5,279,Stretching,Processed Foods,36-45,West,27.6,Limit your intake of caffeine and alcohol.,Thursday
Severe Retinopathy,Vegan,Dinner,"Almond Milk Smoothie, Bajra Roti, Daliya Upma, Green Gram Curry, Pumpkin Dal, Quinoa Salad",48,6,9,12,259,Brisk Walking,Processed Foods,60+,South,28.8,"Include high-fiber foods like oats, vegetables, and legumes.",Thursday
No retinopathy,Vegetarian,Snacks,"Baingan Bharta, Egg Bhurji, Lauki Kofta, Methi Thepla, Mutton Seekh, Sprouted Chana Salad",47,8,10,13,447,Stretching,Sugary Foods,60+,East,26,Get enough sleep to support overall health.,Thursday
Moderate Retinopathy,Vegetarian,Lunch,"Bajra Roti, Boiled Egg Salad, Kadhi with Rice, Lauki Kofta, Palak Kofta, Sweet Potato Hash",30,12,21,12,430,Brisk Walking,Soft Drinks,26-35,East,23.7,Avoid skipping meals and maintain consistent meal timings.,Thursday
Proliferative Retinopathy,Vegetarian,Breakfast,"Baingan Bharta, Boiled Egg Salad, Paneer Cutlet, Poha, Stuffed Capsicum, Vegetable Handvo",43,9,19,5,456,Brisk Walking,Refined Flour,46-60,South,27.8,Stay hydrated and drink at least 8 glasses of water daily.,Saturday
Mild Retinopathy,Non Vegetarian,Snacks,"Chicken Sandwich, Keema Pulao, Lauki Curry, Pumpkin Dal, Sweet Potato Hash, Turkey Kebab",31,14,18,10,450,Brisk Walking,Soft Drinks,26-35,North,23.3,Practice mindfulness and stress-reducing activities.,Friday
Moderate Retinopathy,Vegetarian,Dinner,"Amaranth Dal, Avocado Toast, Handvo, Methi Paratha, Pumpkin Dal, Tandoori Chicken",52,8,8,6,486,Strength Training,Processed Foods,26-35,North,25.4,Practice mindfulness and stress-reducing activities.,Friday
No retinopathy,Non Vegetarian,Breakfast,"Coconut Chutney, Moong Dal Chilla, Palak Kofta, Palak Paneer, Spinach Rice, Sprouted Chana Salad",36,12,9,9,262,Brisk Walking,Refined Flour,26-35,North,24.6,Get enough sleep to support overall health.,Sunday
No retinopathy,Vegan,Lunch,"Bajra Roti, Bisi Bele Bath, Poha, Ragi Dosa, Sprouted Chana Salad, Stuffed Tinda",42,6,9,7,385,Brisk Walking,Soft Drinks,26-35,North,20.5,"Eat small, frequent meals to maintain blood sugar levels.",Tuesday
Moderate Retinopathy,Non Vegetarian,Breakfast,"Handvo, Kadhi Pakora, Methi Paratha, Rava Idli, Vegan Dum Biryani, Vegetable Daliya",45,14,10,7,342,Yoga,Excess Salt,46-60,South,27.3,"Include high-fiber foods like oats, vegetables, and legumes.",Friday
No retinopathy,Non Vegetarian,Snacks,"Bajra Roti, Chole with Bhatura, Gatte ki Sabzi, Oats Idli, Palak Kofta, Spinach Khichdi",33,8,13,12,514,Brisk Walking,Refined Flour,18-25,South,24.4,"Include high-fiber foods like oats, vegetables, and legumes.",Sunday
Moderate Retinopathy,Vegetarian,Snacks,"Avocado Toast, Chole with Bhatura, Fish Korma, Kadhi Pakora, Lauki Kofta, Turkey Kebab",37,10,18,13,300,Swimming,Refined Flour,60+,South,20.9,Practice mindfulness and stress-reducing activities.,Friday
Severe Retinopathy,Vegetarian,Lunch,"Cucumber Raita, Grilled Salmon, Masala Papad, Spinach Rice, Stuffed Capsicum, Vegetable Handvo",53,9,19,10,313,Yoga,Soft Drinks,60+,Central,25.6,Keep a food diary to monitor your eating habits.,Friday
Mild Retinopathy,Vegetarian,Breakfast,"Almond Milk Smoothie, Bisi Bele Bath, Handvo, Oats Idli, Sweet Potato Hash, Vegan Dum Biryani",51,6,14,6,298,Stretching,Refined Flour,46-60,Central,21.7,Keep a food diary to monitor your eating habits.,Monday
No retinopathy,Non Vegetarian,Lunch,"Chicken Sandwich, Fish Korma, Keema Pulao, Pumpkin Soup, Ragi Dosa, Rava Idli",44,6,20,5,316,Brisk Walking,Excess Salt,26-35,North,18.1,"Include high-fiber foods like oats, vegetables, and legumes.",Sunday
Mild Retinopathy,Vegetarian,Snacks,"Bajra Roti, Chickpea Curry, Gatte ki Sabzi, Palak Paneer, Tofu Bhurji, Vegetable Handvo",37,6,19,14,364,Cycling,Deep Fried Items,36-45,West,21,"Include high-fiber foods like oats, vegetables, and legumes.",Friday
No retinopathy,Vegan,Breakfast,"Boiled Egg Salad, Chana Sundal, Chia Pudding, Gatte ki Sabzi, Palak Paneer, Vegetable Upma",55,11,17,6,423,Yoga,Sugary Foods,36-45,South,27.3,Get enough sleep to support overall health.,Wednesday
Proliferative Retinopathy,Non Vegetarian,Snacks,"Egg Paratha, Handvo, Masala Papad, Methi Thepla, Paneer Cutlet, Turkey Kebab",53,13,17,14,399,Strength Training,Excess Salt,46-60,East,25.2,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Saturday
Mild Retinopathy,Vegetarian,Lunch,"Bajra Roti, Boiled Egg Salad, Chicken Sandwich, Egg Muffins, Rajma Curry, Tofu Bhurji",45,10,9,10,439,Stretching,Sugary Foods,60+,West,21,Get enough sleep to support overall health.,Thursday
Severe Retinopathy,Non Vegetarian,Snacks,"Aloo Paratha, Daliya Upma, Egg Bhurji, Grilled Salmon, Lauki Kofta, Vegan Pancakes",46,10,16,10,360,Cycling,Sugary Foods,60+,West,20.1,Keep a food diary to monitor your eating habits.,Saturday
Severe Retinopathy,Non Vegetarian,Lunch,"Fish Curry, Gatte ki Sabzi, Moong Dal Chilla, Rajma Pulao, Rava Idli, Vegan Dum Biryani",54,11,19,14,376,Cycling,Refined Flour,60+,West,18.7,Get enough sleep to support overall health.,Friday
Proliferative Retinopathy,Non Vegetarian,Lunch,"Almond Milk Smoothie, Baingan Bharta, Bisi Bele Bath, Keema Pulao, Methi Thepla, Spinach Rice",50,11,21,11,410,Cycling,Soft Drinks,46-60,Central,28.3,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Sunday
Moderate Retinopathy,Vegan,Breakfast,"Chicken Sandwich, Moong Dal Chilla, Palak Kofta, Roasted Foxnuts, Sweet Potato Hash, Tomato Shorba",51,13,14,13,311,Brisk Walking,Excess Salt,46-60,Central,27.2,Practice mindfulness and stress-reducing activities.,Monday
Proliferative Retinopathy,Vegan,Snacks,"Dhokla, Fish Korma, Masala Egg Toast, Moong Dal Chilla, Oats Idli, Vegetable Daliya",46,9,9,9,252,Stretching,Soft Drinks,60+,South,18.5,Limit your intake of caffeine and alcohol.,Friday
Mild Retinopathy,Non Vegetarian,Lunch,"Egg Bhurji, Fish Curry, Kadhi Pakora, Multigrain Sandwich, Pumpkin Dal, Rajma Pulao",33,10,9,10,406,Stretching,Soft Drinks,26-35,West,20.3,Stay hydrated and drink at least 8 glasses of water daily.,Monday
Severe Retinopathy,Vegan,Breakfast,"Chicken Sandwich, Green Gram Curry, Masala Papad, Methi Thepla, Mutton Biryani, Mutton Seekh",52,13,13,10,434,Brisk Walking,Processed Foods,46-60,North,22.6,Get enough sleep to support overall health.,Sunday
Severe Retinopathy,Non Vegetarian,Snacks,"Lauki Kofta, Methi Thepla, Poha, Rava Idli, Spinach Khichdi, Vegan Pancakes",30,8,18,11,429,Brisk Walking,Soft Drinks,26-35,North,21.1,Keep a food diary to monitor your eating habits.,Monday
Severe Retinopathy,Vegetarian,Breakfast,"Bisi Bele Bath, Chicken Sandwich, Chicken Stew, Gatte ki Sabzi, Methi Paratha, Sprouted Chana Salad",31,6,8,5,394,Brisk Walking,Refined Flour,46-60,East,18.1,Get enough sleep to support overall health.,Friday
Moderate Retinopathy,Vegan,Breakfast,"Bisi Bele Bath, Grilled Salmon, Kadhi Pakora, Methi Thepla, Mutton Seekh, Spinach Khichdi",33,8,21,6,473,Yoga,Excess Salt,46-60,Central,27.9,Get enough sleep to support overall health.,Tuesday
Moderate Retinopathy,Vegan,Dinner,"Bajra Roti, Gatte ki Sabzi, Multigrain Sandwich, Poha, Ragi Dosa, Sweet Potato Hash",41,14,19,10,293,Swimming,Refined Flour,36-45,Central,27.7,"Include high-fiber foods like oats, vegetables, and legumes.",Friday
Severe Retinopathy,Vegan,Snacks,"Cucumber Raita, Dhokla, Egg Bhurji, Grilled Salmon, Palak Kofta, Rajma Curry",33,14,10,8,378,Swimming,Sugary Foods,60+,West,26.4,Get enough sleep to support overall health.,Tuesday
Severe Retinopathy,Non Vegetarian,Dinner,"Baingan Bharta, Masala Makhanas, Methi Thepla, Millet Porridge, Palak Paneer, Pumpkin Dal",51,6,12,10,448,Strength Training,Excess Salt,60+,East,29.5,Keep a food diary to monitor your eating habits.,Thursday
No retinopathy,Vegetarian,Lunch,"Amaranth Dal, Kadhi Pakora, Masala Egg Toast, Millet Porridge, Stuffed Capsicum, Stuffed Tinda",33,14,15,13,374,Cycling,Deep Fried Items,60+,North,24.9,"Eat small, frequent meals to maintain blood sugar levels.",Sunday
Severe Retinopathy,Vegan,Dinner,"Almond Milk Smoothie, Barnyard Millet Pongal, Lauki Curry, Roasted Foxnuts, Sprouted Chana Salad, Tomato Shorba",43,6,8,10,495,Brisk Walking,Refined Flour,18-25,Central,24.7,Get enough sleep to support overall health.,Monday
Severe Retinopathy,Vegetarian,Lunch,"Aloo Paratha, Chia Pudding, Green Gram Curry, Spinach Rice, Tofu Bhurji, Vegan Pancakes",53,10,9,15,379,Swimming,Processed Foods,26-35,North,23.9,Stay hydrated and drink at least 8 glasses of water daily.,Sunday
Moderate Retinopathy,Non Vegetarian,Lunch,"Boiled Egg Salad, Dhokla, Masala Papad, Roasted Foxnuts, Spinach Khichdi, Vegetable Upma",44,14,14,12,486,Strength Training,Deep Fried Items,26-35,East,26.4,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Thursday
No retinopathy,Vegan,Snacks,"Almond Milk Smoothie, Bajra Roti, Barley Risotto, Stuffed Tinda, Tandoori Chicken, Vegan Pancakes",37,14,17,10,477,Brisk Walking,Deep Fried Items,36-45,South,29.2,Practice mindfulness and stress-reducing activities.,Wednesday
Proliferative Retinopathy,Vegan,Dinner,"Bajra Roti, Cabbage Stir Fry, Chia Pudding, Masala Papad, Mutton Biryani, Oats Chilla",49,13,13,12,428,Cycling,Soft Drinks,36-45,West,23.9,Avoid skipping meals and maintain consistent meal timings.,Friday
Moderate Retinopathy,Non Vegetarian,Breakfast,"Green Gram Curry, Kadhi with Rice, Mutton Seekh, Quinoa Salad, Rajma Curry, Spinach Rice",34,8,20,13,314,Cycling,Sugary Foods,26-35,North,28.8,"Eat small, frequent meals to maintain blood sugar levels.",Sunday
No retinopathy,Vegetarian,Breakfast,"Kadhi Pakora, Poha, Quinoa Salad, Spinach Khichdi, Tandoori Chicken, Vegetable Upma",40,11,19,11,487,Strength Training,Sugary Foods,18-25,East,19.8,Limit your intake of caffeine and alcohol.,Thursday
Severe Retinopathy,Vegetarian,Lunch,"Masala Egg Toast, Methi Thepla, Mutton Biryani, Oats Chilla, Pumpkin Soup, Vegan Dum Biryani",40,13,12,12,458,Swimming,Excess Salt,46-60,North,20.3,Keep a food diary to monitor your eating habits.,Thursday
Moderate Retinopathy,Vegetarian,Lunch,"Avocado Toast, Chole with Bhatura, Oats Chilla, Spinach Rice, Tofu Stir Fry, Vegetable Handvo",38,8,15,9,451,Yoga,Excess Salt,18-25,North,29.5,Keep a food diary to monitor your eating habits.,Sunday
Moderate Retinopathy,Vegetarian,Snacks,"Chole with Bhatura, Moong Dal Chilla, Mutton Seekh, Poha, Sprouted Chana Salad, Stuffed Tinda",46,6,20,8,470,Cycling,Sugary Foods,18-25,Central,24.6,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Tuesday
Moderate Retinopathy,Vegetarian,Lunch,"Avocado Toast, Boiled Egg Salad, Dhokla, Green Gram Curry, Roasted Foxnuts, Turkey Kebab",43,7,9,5,416,Swimming,Soft Drinks,60+,West,24.6,Get enough sleep to support overall health.,Wednesday
Moderate Retinopathy,Non Vegetarian,Breakfast,"Coconut Chutney, Cucumber Raita, Kadhi with Rice, Oats Idli, Vegan Pancakes, Vegetable Upma",45,13,13,13,363,Swimming,Refined Flour,36-45,West,25.7,Limit your intake of caffeine and alcohol.,Saturday
Proliferative Retinopathy,Non Vegetarian,Breakfast,"Barnyard Millet Pongal, Chicken Sandwich, Daliya Upma, Kadhi Pakora, Poha, Vegetable Upma",31,7,13,9,338,Brisk Walking,Soft Drinks,60+,North,28.8,Practice mindfulness and stress-reducing activities.,Saturday
Moderate Retinopathy,Non Vegetarian,Lunch,"Daliya Upma, Handvo, Palak Kofta, Rajma Pulao, Sprouted Chana Salad, Vegetable Upma",39,12,13,15,458,Cycling,Excess Salt,60+,South,23.1,"Include high-fiber foods like oats, vegetables, and legumes.",Wednesday
Moderate Retinopathy,Vegetarian,Snacks,"Baingan Bharta, Chicken Stew, Chole with Bhatura, Palak Kofta, Ragi Dosa, Roasted Foxnuts",30,8,13,6,493,Cycling,Excess Salt,60+,West,27.1,Get enough sleep to support overall health.,Wednesday
Severe Retinopathy,Vegan,Lunch,"Aloo Paratha, Barley Risotto, Keema Pulao, Masala Papad, Palak Paneer, Paneer Bhurji",35,14,13,7,501,Yoga,Soft Drinks,46-60,South,23,Get enough sleep to support overall health.,Tuesday
Proliferative Retinopathy,Vegan,Breakfast,"Chickpea Curry, Kadhi Pakora, Millet Porridge, Poha, Sprouted Chana Salad, Tandoori Chicken",33,11,18,11,323,Yoga,Soft Drinks,26-35,Central,22.2,Practice mindfulness and stress-reducing activities.,Wednesday
Proliferative Retinopathy,Vegetarian,Lunch,"Green Gram Curry, Kadhi with Rice, Lauki Kofta, Masala Idli, Oats Idli, Palak Paneer",39,14,9,8,406,Yoga,Deep Fried Items,26-35,North,26.4,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Wednesday
Mild Retinopathy,Non Vegetarian,Breakfast,"Gatte ki Sabzi, Grilled Salmon, Kadhi with Rice, Methi Paratha, Palak Kofta, Rava Idli",51,6,17,9,488,Stretching,Soft Drinks,46-60,East,29.9,Avoid skipping meals and maintain consistent meal timings.,Monday
No retinopathy,Vegan,Dinner,"Almond Milk Smoothie, Dhokla, Masala Papad, Quinoa Salad, Tofu Bhurji, Tofu Stir Fry",41,11,20,7,351,Brisk Walking,Processed Foods,36-45,North,23.6,Keep a food diary to monitor your eating habits.,Sunday
